8314246,8317873
8317874,8317942
8319831,8319966
8331582,8331736
8338922,8339047
8340343,8340469
8341090,8341268
8341693,8341978
8375936,8376090
8376607,8376726
8389232,8389407
8404537,8404660
8436592,8436689
8437198,8437239
8449725,8449837
8454580,8454591
8454580,8454594
8460411,8460568
8460411,8460571
8465466,8465675
8470995,8471085
8484119,8484378
8485227,8485324
8485227,8485327
8485762,8486349
8492862,8492979
8497242,8497268
8499647,8499840
8500754,8501059
8504261,8504405
8507301,8507434
8517848,8518429
8521277,8521546
8523513,8523524
8524925,8525035
8526627,8526644
8527345,8527353
8528591,8528779
8633317,8633458
8636699,8636844
8733780,8733843
8733844,8733946
8857638,8857710
9018697,9018735
9183304,9183363
9397449,9397467
9397449,9397468
9397449,9397469
9397449,9397472
9397449,9397479
9397449,9397480
9397449,9397482
9397449,9397483
9397449,9397487
9574732,9574781
9734533,9734571
9766810,9766851
9938507,9938610
10033718,10033790
10340963,10341017
10612398,10612505
10612398,10612702
10612398,10612703
10612688,10612723
